#indo
*Indo-European
+Proto-Indo- European	*oynos / *sem	*duwō	*treyes	*kwetwores	*penkwe	*sweks	*septṃ	*oktō	*newṇ 	*dekṃ
*3Kapixaná
Capishana	wiwi pátàiṛä	mau kãeṛá	mau piakaúkä
*3Betoi
+Betoi	edoxoxoi	edoi	ibutu
*3Paes-Barbacoan
*4Paezan
+Andaqui	guhigo	nanszihisze	[2] haniguhé		saguan cuachoagua
Paez	teetš	eʔz	tekh	pahz	tahts					kseba
Coconuco	kana	pasam
+Totoro	ia	kanen-do-vasham	pa-buin-sham	pi-puin-sham	tchaj-pun-sham	kanen-guaya				diez-bunsham
Guambiano	kan	pa	pɨn	pip	tɕaatɕi					pints
*4Barbacoan
Cuaiquer	maza	pas	kut¯a	ampata
Cayapa	main	pallu	pema	sucu	manda	mandishmallu	mandishpallu	mandishpema	mandishtaapallu	paitya
Colorado	man	palú	pemancá	junpalu	mante	so’tá	siéteca	óchuca	nueca	chuncá
*3Itonama
Itonama	uc’a’ne	achupa	otere	cuhuatru
*3Warao
Warao	isaka	mana-mo	dihana-mo	oro-baka-ya	moho basi	moho matana isaka	moho matana manamo	moho matana rihanamo	moho matana orobakaya	moho reko

*Yanomaman
Ninam	kamitχ́ amhét	tasi’m	tasimaimhét
Sanuma	čaamí	polakabí	hīrīpólag’a	sal’ái
Yanomami	mahon	porokabo	prukatabo
Yanomamö	mahu	horohobi	bruka

#south
*[Andean]
**Culle-Cholonan
+Cholona	an-zel	ip-zel	is-zel	miñip-zel	kiok-zel	ipzok-zel	kilix-zel	pak-zel	okoñ-zel	al’ek-zel
+Hibito	etsí	útsi
**Tucanoan
*3Western
Coreguaje	’theʔe-	’theʔe-khaʔdɣapa-	’dɣothe	’ũkua-khaʔdɣapa-	’theʔe-hĩ- thɨ-repa-					’hɨña ’hain̥ɨƚkʰo-repa-
Siona	teʔé	sąmú̹	sąmú̹té	gahéséʔéga	[1] ʔįtí̹	[5] [1]	[5] [2]	[5] [3]	[5] [4]	siʔá sadáyą
Pioche	tay’ǒ	kayayě	tō̱asonjě	kázia	eɣátopo	yehetawěnta	[5] hǒne mogalja	hōpoáljo	adijo hǒne mogalja	ádijǒ
Secoya	te’e	caya	toasoŋe	cajese	te’e jëtë	seis	siete	otso	nueve	si’a jë̱ŋa
Orejón	te jã	tepe jã	baba jã	mɨoƚyodea jã	te jɨtɨdea jã					(tepe jɨtɨ-dea jã)
*3Central
Cubeo	cũinádo	pʉcad̵oa	yóbecuriyoa	yóvaicuvaiyoa	cũinápʉ rʉpede	[5] [1]	[5] [2]	[5] [3]	[5] [4]	pʉcapʉrʉapede
*3Eastern
Macuna	cojojaʉ	jʉa	idía	babari	cojómocōro	[5]jedí gajámo cojáñeáro	[5]jedí gajámo jʉañearo	[5]jedí gajámo idéañaro	[5]jedí gajámo babariñearo	jʉamocōro
Desano	yuhu	pe	ɨʔre	wapiki	[1] bõhõtõ-ki-bãhã	[5] gahi bõhõtõ [1]-ru bãhã	[5] gahi bõhõtõ [2]-ru bãhã	[5] gahi bõhõtõ [3]-ru bãhã	[5] gahi bõhõtõ [4]-ri-ru bãhã	pe-pi-ri bõhõtõ-ki bãhã
Siriano	su-	pe-	ɨʔre-	wa’píkí- -	sú-bõhõ-bã-					’pé-bõhõ-bã-
Tuyuca	si’ká-	pɨa-	iti’á-	ba’pári	si’ká-bõhẽjẽ-					pɨ’aa-’bõhẽjẽ-
N Barasano	hix̯kága	pe̥ága	ix̯tíaga	baxṕáliga	hix̯kámuxkono	axṕémuhix̯ka ṕeniṕero	axṕémuṕe̥ā ṕeniṕero	axṕémuix̯tiā́ṕeniṕero	axṕémubaxṕáliṕeniṕero	peā́muxkono
S Barasano	sĩg-u– 	hu– a-rã	idia-rã	babarirãk-u– 	kohobõkãrãk-u– 					hu– a ãbõ kõ-ró
Carapana	’hĩ´ kã́	’pɨga	’ítía	bapa-ri kã́dã́kã	’hĩ´ kã wã’bṍ-kã́rõ					’pɨga wãbṍ-kã-rõ
Tatuyo	’hĩ-kã	’pɨga	’ítía	bapa-ri kã́dã́kã	hĩkã wã’ bṍ ’kṍo					’pɨga wã’ bṍ ’kṍo
Tucano	dĩʔkã́	pɨá	iʔtiá-	baʔpáriti-	dĩʔkã́bõkɨ-					pɨábõkɨ-
Yuruti	ĩ’kã́-	pɨ’á-	’ĩtia-	ba’púbisari	i’kã́-wã-bõ-pɨkijẽ					pɨ’á-wãbõ-pɨkĩ-
Guanano	cĩ- 	pɨ’a	ti’a-	pi’titia-	kĩ- wã’bõ-bã’kã piʔ’yia					pɨ’a wã’bõ-bã’kã piʔ’tia
Piratapuyo	ĩʔ’kã-	pɨ’a-	iʔ’tia-	pi’titia-	ĩʔ’kã õ’bõpe					pɨ’a õ’bõpe
Tanimuca	ĩ-rã-	’ĩpa-	’bãẽka-raka-	bo’ta-raka-	ĩrã-pi’ta-raka-					’ĩpa-pi’ta-raka-
+Tama	teyo	cáyapa	choteyo	cáyapa-ria	ciajenté	yaquejenté	uncuáneco	yecquinico	teáme	jargueseme
**Macro-Puinavéan
*3Puinavean
Cacua	bik	tSẽde	bik pejkãd-dĩ	tSẽ-da bĩk	bik-hĩʔ-bo tejʔja					tSẽdat paʔ tejʔja
Puinave	tĩ̵m	kaw	pəj	lawmõk	dap tɨm	tamda-baruba	pauru-baraba	akaunu-baraba		dauraba
Waviare (Nukak)	miik3	čɛne1			teiʔ3 paʔ1					[2] teiʔ1
*3Katukinan
+Catawishi	wakata	sahe	tiumpa
+Catuquina	heghykty	upaûa	tupaua	noyhan
Canamari	ekek	ubawa	ekek atehu
+Bendiapa	kik	ubawa	kik atehu
+Parawa	ikek	bawa	ikek ɛtɛhu
*3Kaliánan
*4Ahuaqué
Arutani	kiuaná	kiuanyè̱̃’kẹ	uatītimitili’akẹ
*4Kaliana
Sape	koki	ikiria	komoña
*4Maku
Dâw	m’ẽ’	tɨím	mutwaáp		kwatu
Nadëb	šæt	pɔwɔp	tamawɔ́b
Hup downriver	ʔayǔp	koʔǎp	mɔ́twaʔǎp	(hi)bab’ní	ʔædapṹh
Hup upriver	ʔæ̌p	kaʔǎp	bab’ pã̌	bab’ ní	ʔæp d’apṹh
Yuhup	cã́h	b’ə̌ʔ	mɔdɨ́g-w’ǎp	bab-ní-w’ǎp	cãh-pṍh-w’ǎp					b’ə̌ʔ-pṍh-w’ǎp
**Nambiquaran
S Nambiƚkuara	ka3na3ki1	ha1li1	[2] [1]	[2] [2]
N Nambiƚkuara	naĭúkənadaiş̌	baã́ş̌ore	uáĭnş̌ore	uáĭdnáĭş̌ore	nikŭáĭnş̌ore	ŭáĭdna-áiş̌ore
Sabanes	améro	baléne	balaámero
**Ticuna-Yuri
*3Ticuna
Ticuna	huia	tarai-haipeu	tamai-haipeu	agai-makai	huia-mai-hai-poi	nahai-mai-hai-pai	nahai-mai-huai-hai-poi	nahi-mai-huai-tarai	nahi-mai-huai-mai-quai	go-mai-huai-hai-poi
Yuri
Yuri	comäa	peiä	gojogóba	tărăaóba	ticomenáueba	oragoanahó	göjagabo oragaánaco	göjagobatäh	tarao-anobá	paiana-obá
**Quechuan
+Proto-Quechua	*suk	*ishkay	*kimsa	*çusku, *tawa	*pichqa	*suqta	*qançis	*pusaq	*isqun	*çunka
…Gonçalez Holguin	huc	yscay	quimça	tahua	pichca				yzccun	chunca
!C Quechua (Ancash)	huk	ishkay	kima	chusku	pitsqa	hoqta	qanchis	puwaq	isqun	chunka
…Huánuco	huk	ishkay	kimsa	chusku	pichqa	soqta	qanchis	pusaq	isqon	chunka
…Junín	huk	ishkay	kimsa	trusku	pichqa	suqta	antrish	pusaq	isqun	trunka
Peripheral (Cajamarca)	soq	ishkay	kimsa	trusku	pichqa	soqta	qantris	pusaq	isqon	trunka
…San Martín	suk	ishkay	kimsa	chusku	pichka	sukta	kanchis	pusak	ishkun	chunka
…Ayacucho	huk	iskay	kimsa	tawa	pichqa	soqta	qanchis	pusaq	isqon	chunka
…Brazil	huk	iscay	kimsa	tahua	pichca	socta	canchis	pusak	iscon	chunca
…Cuzco	hoq	iskay	kinsa	tawa	pisqa	soqta	qanchis	pusaq	isqon	chunka
…Argentina	suk	ishkay	kimsa	taa	pishqa	shoqta	kanchis	pusaq	ishqon	chunka
…Ecuador	shuj	ishcai	kinsa	chuscu	pichica	shucta	canchis	pusaj	ishcun	chunga
**Aymaran
Aymara	maya	paya	quimsa	pusi	phesqa	sojhta	paqallqo	quimsaqallqo	llätunca	tunca
Jaqaru	maya	paha	kimsa	puši	pičqa	suhta	qanĉisi	pusaqa	isquña	čuŋka
Kawki	maya	paha
**Macro-Lekoan
+Leco	ber	toi	tchai	didai	ber-tcha					ber-bivque
**Zaparoan-Yaguan
*3Zaparoan
*4Záparo
Zaparo	nuquaqui	namisciniqui	haimuckumarachi	[2] ckaramaitacka	[2] ckaramaitacka [1]	haîmuckumaracki ckaramsitacka
Andoa	nikínjo	iški	kímsa
Arabela	niquiriyatu	caapiqui	jiuujianaraca	saa caqueetacaja
Iquito-Cahuarano
Iquito	nóki	kṓmi	sesára-maxetă	soramáxetan	tixere tseṓnaka	matjā́-[1]	matjā́-[2]	matjā́-[3]	matjā́-[4]	matjā́-[5]
Cahuarano	núki	kṓmi	sesḗra-makitána	soramáxetan	tixērikiwánaka
Yaguan
+Peba	tomeu-lay	nomoira	tamoimansa	namerayo	taonella
+Yameo	pwitĕ́r	narámue9	kiŋsắ	tšiúskō	piški	sókta	kantšis	pú’sa	ískō	tšuŋga
Yagua	tikilo	nanohui	mumoi	nairukuiniu	tenaka	tikilo-niatea	nanohui-niatea	mumoi-niatea	nairukuiniu-niatea	huikakuniu
Sabela
Auca (Waorani)	ado	bĩ
Kandoshi-Omurano-Taushiro
Omurano
+Omurano	naθŏ́́ro	θṓoro	ononṍon	natsononídza	oṛaṛápa	nōtōlě	nōtolepemidze	natolḗ	natolḗleai	natolēoleaídje
Candoshi
Candoshi	-mĭnamtá	-tsĭbonó	-tóochpá	-ipónƚponáró	-zamƚĭatpata	-minam matáyaro	-tsibon matáyaro	-tóochĭp matáyaro	-ipónƚponáro matáyaro	-kovĭz ĭptaaro

*[Equatorial]
**Katembri-Taruma
+Taruma	ošiwai	džowa	mĭkayahi	džobarada	dodangurubăb	[1] yakana’-ahami	[2]k-yakana’-ahami	mikyahahi-yakana’-ahami	[4]k-yakana’-ahami	dobong
**Esmeralda-Yaruroan
*3Esmeralda
+Esmeralda		bashini
*3Yaruro
Yaruro	keriame’h	nywari’h	tarari’h	hadotcomi’h	keinetcibo’	keinetcini[1]	keinetcini[2]	keinetcini[3]	keinetcini[4]	itcisune’h
**Tequiraka-Canichana
*3Tequiraka
+Auishiri	ismáwa	kisnáõ	akū́wa
*3Canichana
Canichana	mereca	caadita	caarjata
**Macro-Andean
*3Jivaroan-Cahuapana
*4Jivaroan
Jívaro (Shuar)	čikíčik	hímyar	manáintyu	áintyuk áintyuk 	ewéh amus	[1] íraku	[2] íraku	[3] íraku	[4] íraku 	mái ewéh amúkhai
Aguaruna	makichík	jímag	kampátum	ipáksumat	[1] uwejá ámua	uwejá [1] ijúk	… [2] …	… [3] …	… [4] …	uwejá maí ámua
Achuar	kíčik	hímyar	kampátam	učínyuk učínyuk
Huambisa	chikichik	jimar	kampatu	aintuk aintuk	[1] uwejan amua	[5] [1] iruku	[5] jimaran iruku	[5] kamƚpatum iruku	[5] [4] iruku	uwejan mai amua
*4Cahuapanan
Chayahuita	haná	kató	kará
Jebero	aláatsă	katù´ ta	kála	ingátoo	alḗ̱ĭtkuŋ	sokta	kántšis	pūsak	iskō	tšunga
*3Urarina
Urarina	leinji̧į	coroataja	nichataja	jena	saoquinia	saotania	cainsinia	fosania	isconia	lechǫǫnca
*3Puelche
+Puelche	chia	bech	gech	mala	damca	chiman	cachbecha	busha	chiba	zamazc
*3Zamucoan
Ayoreo	chomarã’	gare’	gādioc	gāgáni’	chēna̍yimanâĩ	chomerã’ iji’ ti	gare̍iji’ ti	gādioc iji’ ti	gāgáni’ iji’ ti	chēna̍yimanã́de’
Chamacoco	chomara	gar	gaddioc	gahagani	chena yimanaite	chomar ahi	garihi	gadioguihi	gahagamihi	chuena yimanaddi’e
*3Timotean
+Timote	pití	jenca	suca	pit	mubis	majen
+Cuica	kari	xem	šuent	piti	kamó	katseunt	ma-en	mavi-šuent	mavi-pita	tabis
+Muchuchí	karí	xem	shut
+Maripú	karí	xem	sut
*3Piaroa-Saliba
Piaroa	yauotene’te̱	to-né̱drin	wabode̱χkuána	imoté	imoterua	cammuté [1]	cammuté [2]	cammuté [3]	tanmoredué	tanmoredé
Saliba	hotabe	tomesaʔga	heʔdubaʔdu	bahẽga-	sĩkoʔneʔga

*Tupi-Cariban
**Tupian
Aweti	majapeté	monkói
Kamayura	moyepete	mokõy	moʔapit	moyoƚʔirũ	yenepomomap
Mawe	wẽtub	tì̹pí̹d	maeįm	tí̹pįvëvóă	[1] kaviad	kokáviad maiţá	moháhab	mopįasëd	maewarįwį átupiad	máewarįwį
Purubora	mū́ 	wewá	bokó we uá
+Dzubucua (Kariri-Xocó)	bihé	witane	witadenike
+Kamaru	liauigäboh	liaui-thikani-hüh	liaui-thikani-hühke	ibichó [4/5]
*3Guarani
Sheta	matinkan	mokoi	ñiirü	šyétá	hendá košime
Guayaki (Aché)	eteyã	mïrɔ	mïrɔ: wâčú	mïrɔ: tàra̤
Juma	aphla	liágua	mabäʔagua
*4Guarani
Kaiwa	’petẽ̱’ì´ 	mokwō̱’ì´ 	ᵐnoap̌ü’ì´ 	irũdü’ì´ 	[1] ñirü’ì´ 	ᵐboap̌ü´ memḗ	ᵐboap̌ü´ memẽ̱rirḗ̱	irũdü  memḗ̱	irũdü  memẽ̱rirḗ̱	[5] memḗ̱
!Guarani	peteĩ	mokõi	mbohapy	irundy	po	poteĩ	pokõi	poapy 	porundy	pa
…Sp. alternatives					sinko	sei	siete	ocho	nueve	diez
Chiripá	aépi
Chiriguano	pẽti	mõkoi	mbápɨ	irúndɨ	pandépo	ówa	chíu	húri	cháo	payandé-po
Tapiete	penté	monké	maʔap
Mbyá	peteĩ	mokoĩ	mboapy	irundy	peteĩ nhiruĩ	[3] meme	sete		nove
*4Guarayú
Guarayu	nyepai	nyuenió	mosopi	iruanantú	poiyanepó	nyempenyová	nyunyihová	mosapihová	irunantúová	poinyandepoyovaívé
Nhengatu	iepé	mocoîn	musapire	irundi	iepé-pô	po iepé	po mucuin	po [3]	po [4]	mocoín-pô
Pauserna	monopedo	mokóe	hebü
Siriono	komi	yeremo	yeremono
*3Tupi
*4Tupi
+Old Tupi	oîepé	mokõí	mosapyr	irundyk
*4Cocama
Cocama	huepe	mucuica	mutsapɨƚrɨca	iruaca	pichca	socta	cansi	pusa	iscun	chunga
Omagua	uypy	mokui-ka	musapérika	yruakay	peseghaty					upapua
*3Tenetehara
+Anambe	yanäpo tepa	mukuẽ	muhapi̥	nuyupitä	uuaiyärä	ruanya	irũ	pită	ruwäkä	popayuwä
Guajajara	pitái		nairúi	surí rõngatú	upãn senepó pengu ära	hä há
Tembe	pité’i	mukuy	na-irwi	irundi	hê-po					hê-po-paw
Tapirape	anchepé	mukúi	māpít
Ava Canoeiro	aistu:bo
*3Wayampi
Urubu (Kapoor)	piteī	mokuī	oapirě	(oapirě)	tumamé					janepó upáu
Oyampi	pe'ĩ	monijũ	moapy	irõte	jaty	irõirõte
Emerillon	mozepé	mokoñe	maapuit
+Karipuna	xaniá	rabuí	quemijê	mocandé [4/5]
*3Kayabi
Kayabi	ajepeì	mukũì	muapyt	irũpãwẽ
Asurini	pité’i	mukwi	mukuy amo ma-irwi	uzêy iru-irungatu	po-péhẽngwêr					po-mukwi
*3Kawahib
Parintintin	ojipéji	meme	mbohapyr
+Paranawat	ajepêi	mocôin	[2][1]	[2][2]
Wirafed	oyipẽ	imokóĩ	mokóĩ-iru-mae
Apiaca	majupé 	makué	boapui	mokum-kognato	apurava	koivete
Makiri	aipité	mokoíng	moapét
Mekens (Kanoé)	pátairā	kāerá	piakaúkä
*3Munduruku
Munduruku	pũg2	xep3xep2	e3ba2[1]	e3ba2dip3dip2	pũg1 põg3 bi2					[2] põg3 bi2
+Kuruaya	dā	porãkã	tëboaz9e ŭm	we bį adjiriráz̯a um	wei bį adjiriad	ubį čikirid
*3Juruna
Yuruna	duáyo	naná	nanámba	duayózo	uaũ
+Shipaya	unanrandian	budá	minam	duaetučẽ	cibaurico	cibudápaíru	buinẽ	amincá	cidecarapudy	diará
*3Arikem
Arikem	mundápă	pa̘tám	moiúm	ka̘rānta	uisput	[1] uis-pu kutũa̘t	[2] …	[3] …	[4] …	uis-pu pa̘mă
Karitiana	mʌ̃hĩn	sʌpõm	mʌ̃nhʌ̃m	otannʌ̃mʌ̃n	ʌj pʌt	[1] ʌj pʌ ota ʔoot	[2] …	[3] …	[4] …	ʌj pʌ ota tʌta
*3Tupari
Tupari	kíäm	hürü	hürü noṓm
Wayoro	popot	derät	wärehät
Guarategaja	kizä-anäm	těre em kátn	kwaikia tze kwátn
Makurapi	äṛäköt’	äṛäá’	äṛäküanyum	[2]-[2]	[4]-küanum
Kepkiriwat	pangue	xatéte	setepangue	pãbá	bairum
*3Ramarama
+Urumi	uenacaven	ichirangue	itamaiun	itajanire	itamamo	icarobüte	itaguto	itagobiu	icaúnhé	copongé
Arara	mutürem	yegárkom	koirẽm
+Uruku	mǒtírem	yegárǒkum	pagǒdnóbtem	pagǒdnmótem	papígtem					tḗnem
Itogapuk	mutírem	yagarekóm	pairóbtem
*3Monde
Monde	amakim	wuakí	parašerám
Surui	mũy	mûyakábud	kaysér
Arua	mīn	busá	waūm
**Cariban
*3Cariña
Carib	ōwiñ	ōko	ōruwa	ōkopaime	aiyatōne	ōwiñ-duwōpiima	ōko-tuwōpiima	ōruwa-tuwōpiima	ōwinapōsɨkï:rï	aiyapatōro
*3Opon-Carare
+Opone	seneároko	sá	sáura
*3Yukpa
Yukpa	ɨkúma	kósa	koséra	kosá-tka	omá-tka					joma-pɨƚká-tka
*3Tiriyó
Tirió	tinki	ökönö	voyerau
+Hianacoto	tényi	sẹké. nẹkẹ	ðēráuẹrẹ	kẹnẹtẹké. rẹnẹ	ẹ́niatoénerẹ	ẹniatátotetényi	ẹ́niazẹkẹ́nẹrẹ	ẹ́niazékáuẹrẹ	ẹ́nia[4]	ẹ́nianenetẹ́hẹrẹ
Akurio	tonikini	sokororo	ebemüni
Carijona	te’nji	saka’narɯ	se’raurɯ	kɯ’nɯtɯ’kɯrɯnɯ	’enʲa’towe’ne					’ɯnKa’hetši’datu
*3Kashuyana
Shikuyana	winali	asaga	sorawau
*3Waiwai
Waiwai	tioni	asaki	soroau
Parukoto	tukinkaré	asakené	serkuané
Hixkaryana	towenyxa	asako	osorwano	towtɨn kerye	kamor- i
*3N Amazonian
*4Yawaperi
+Boanarí	abané	pademaká	uruá
Yauapery	marabá	assiki	uschono	mapamari	schaki
Waimiri (Atruahí)	awenin	typytyna	takynynapa	typy[2]	[3] [2]	[3] [3]	[3] [3] awenini	[3] [3] [2]	[3] [3] [3]
*4Paravilyana
Sapara	tūklẹkālẹnó	tké8lẹ	hedáue
Paushiana	níkênā́na	atā́re	ãngá mokā́re	atā́mo penéne
+Paravilhana	teuenjé	akoünien	olaulé	olaulá	avainjanlö	adöu avainjanlö	enepù náei	olau lei
*4Pemón
Makushi	ti-wín̥	a-sá-gə-ne	e-sé-re-wa	a-sá-ku-rə-bá-na	mói-ya e-tái-kin̥	[1] mí-ya pó-na tə’-mo-tai	[2] …	[3] …	[4] …	mí-ya támə-na-wə’-rə
Pemon Taurepan	tiukinan	çaganã	ceurêuenan	kagerelenãn	miategenan	tiuken miaponá teotai	çagarê …	ceurauenê …	kagerelê …	miata manuerê
Akawaio	tègina	azara	osorowa	asagorone	[1] miararoe	[1] puda	azàra miaràroe	[3]-miararoe	[4]-miararoe	miaràroe-màra
Purukotó	aleini	iniperkuru	inialé
*3Central
+Cumanagoto	tehuín	azake	azorao	uuzpue	emiatone	tehuipona				emia temere
+Chayma	tibín	achako	achorao	ispue	petpe	tibín chopona				enizapebana
Apalai	taïro	assacoro	asséruao	assacoro-pané	omamé	ocitoro	étiipuiri	maarekéné	éméro
Apalaitoiro	asakoro	oseruao	asakoropane	omame	ocitoro	omazũmykaponato	maarekéné	éméro	omame porehme
*4Yao
+Tivericoto	ovin	oko	orwa
Yao	tewyn	tage	terrewaw	tagyne	mepatoen
*4Wayana
Wayana	pekenatpö	hakene	eheruaw	ehepetina	ehepetimna	etato	[2][6]	[3][6]	ehepetine [6]	omo-me
+Roucouyene	awini	sakéné	héléwaw
+Aracaju	pang	čepčep	uarätambúlae	čöpatičepčep	čöpatipang	jatang	jänio	jataing	jatung	thölatöt
*4Mapoyo-Yavarana
Mapoyo	tëhkenarï	sakenarï	temiñakënë	sakorobënë	tëkenameko					sakenameku
+Tamanaco	tevinitpe	acchiacké	achiluòve	acchiackemnne	amñaitoné	itaino amñoponá [1]				amña-acheponare
Yabarana	ẹnipé̥tẹ	sákęẹnẹ	pẹtome̥-yā́kẹlẹ	askoŋtonβene	ehne jemeku’nure					ɛme’kure
*4Makiritare
Ye’cuana	tauíni	ake	hedáue
Wayumara	tuiné	asāle	ęsẹuluó
*3S Amazonian
Panare	tyityasa	asac	asonwa	asa’nan	eñacätoome	[1] eñacätoetyo	[2] qu-...	[3] ...	[4] ...	(asa) panañipun
+Palmela	aropé	aha	ohehua
*4Bakairi
Bakairi	tokale	ahage	ahage tokale	ahage ahage	ahage ahage tokale	[2] [2] [2]
Nahukwa	álechi	atake	etila
*4Arara
+Arara	anane	adak	[2] [1]	[2] [2]	[2] [2] [1]	[2] [2] [2]	[2] [2] [2] [1]	[2] [2] [2] [2]		omiat omiat
+Pariri	nané	atág	atáganane
+Apiaka	mayupé	mokõñ	boapui

*Macro-Otomákoan
**Harákmbut
Amarakaeri	nogtida'	botta'	bapa'	[2] [2]	huabaniga'	nogbayo e'ayhua'				botbaniga'
Huachipaeri	ruña	gundupa
**Otomacoan
Otomaco	enga	dé	yakia	depitade	ionga pinibo	éréungui enga	éréungui dé	éréungui daba	depidabe	ionga uba
Taparita	enda	deñiaro	deni
**Trumai
Trumai	mihin	uuš	uštaxme [3/4]	—	nekatkelan

*Guamo-Chapacuran
+Guamo Sta Rosa	tagstar	kete	kurumktin
+San José	tagstame	dikiampa	kakute
**Chapacuran
Tora	kwatádn	kųradni	kuran kwatádni	kuradn ti ramadni
Wanyam	ikrañéhua	karikanéhua	amikočigua
Cumana	tan	ukuran
Itene	tan máiñ	vorócam	map ramayím	itoi itoi sipí	apiyé úm	[1] nin maché	[2] nin maché	[3] nin maché	[4] nin maché	[5] nin maché
+Quitemoca	mamai-omaiče	veniai	čiti	čitinua	huañanie
Chapacura	tankua	ayuken	huagaragatan	reno		čumpa umi-či	huatata kamukua	ehuiña	ahuakatáni-ami-či	aipomi-či
Urupa	muním	piá	munín piá
+Jaru	monin	nicacá (2/3)		équemetêt
**Tiniguan
Tinigua	kíyi	xáḑà	xáḑà kíye	kąpąsąñú	xopakuáxa	ifwaţo kuáxa	xáĩó páĩtⁱ0	fwaĭése	kiḑase	kiţase
+Pamigua	chijance	sajancesá	sajance	chijastijance	sacsucuaja	coadsucuaja ayipaquiaji	sabsepsa ayipaquiaji	sabsepsa chibsuaja	chiastipsa ipaquiaji	patsucuaja ipaquiaji

*Macro-Arawakan
**Guajiboan
+Churuya	cai matacari	cabale matacaviva	omopesiva	penasalavi buba	caicabebaje	caicacubaje
Guahibo	káe-hawa	aniha	akúejabi	penajánatsi	kué-hobe	itsakabeja berena	wahakaita ropitsi	tuatuahüpihikabesito	pekanuakabesito	aniha-kobé:-behe
Cuiba	káe-wa	ainjá-wa-be	akóibi	nakuéta-be
Guayabero	ká-jax	ku’lé-n-he	pamópa-x-he	natšála-x-he	kue-keʔé
Macaguan	kení	penakuétšabe	hóbehe	ánabe	itsa-hoéha					atbó
Playero	ompá-wa	nahúa-wa-behe	penajánatší-wa	náhua-mátaxijó-behe	pihinía-wa					díe-behe
**Arawan
+Arawa	warihí	fanihi	arisafaha
Culina	uüty	rabü	taküma	taküyuwukuin	takütakurasi	yiša				nuküwümikyu
Yamamadi	itarini	ɸaumini	uharini	damini	[2] [2] [1]					damīni
Paumari	huarani	baniki	huara-bakuθeki	fāmīnì´ 	saai-kahuaranki	sauihuaran karaauni				θěěiku bamibaniki
**Maipurean
*3Northern
*4Upper Amazon
Anauyá	ahiari	mahoren	marahunaka
Resigaro	sagú	migaakú	[2] [1]	poʔtsáá vágaahí	sáʔosí	síʔosíkhó [1]	... [2]	... [3]	... [4]	páʔosíkúmá
+Waraicu	atetu	puyabana	mayba	atytecabo	lakuin					hualyan
*5Wainumá
+Wainuma	apágeri	mačahma	matzücke	ahpagopi	ahpagapi	aira-ettagapi	[6]-hairiwigani	[6]-[2]	aigarithaecke	umahni
Mariate	apäkery	mečema	atäpo	atäpuy
*5Piapoko
Piapoco	ab-éeri	putšáiba	máisiba	báinúaka	abéemàa wakáapi	aiukapi béré	… putšaiba	… maisiba	… bainuaka	abe wakapi
Achagua	bákeeɣi	tšámai	matálii	kuátru	abacaje	abaíbacage	juchamatabacage	matarítataí bacage	rejunícayacaba bacage	juchamage
*5Warekena
Guarequena	apā́basa	dauntása	mabaitalísa
*5Río Negro
+Cawishana	bäla	mätallá	bamäbicáᶜá	lawauugabi	loamá-nokápe					loaná-cape
+Yumana	aphüllá	biágma	mabäagma	tilalüchbüa	aporagabí	biamurägauagabí	čičabučauagabí	biamorägóagabí	jauwätähí	čubumiagăbí
+Passe	apeala	packéama	mapeama	puke-amama	upanachapii					püpaiachapii
*5Yucuna
Yucuna	pahluwáha	ijamá	wéehi kéele	paʔú kéele	pahluwá téʔelá kéele					ijamá téʔela kéele
+Garú	pagluachima	xeyama	uzíkele
*5E Nawiki
Tariana	pa:-	ñama-	madali-	kephunipe	pa(:)-kapi
Curripaco	pa-da	jama-da	madali-da	likuadaka	pema pa-ki					jamena pa-kapi
Izaneni	ope’kutsa	dzámana	mandalíne
Baniwa	cadudi	djami	madállipa	manupégá noùliki
Mapanai	páda	dzamáda	madalída
Moriwene	apáda	zamáda	madálida
*5C Upper Amazon
+Marawa	uquašumu	mušamu	gheben	ušanamak	korodacapo	ukutadacapo	auintadacapo
Bare	makuty	pikûna	kilikunama	kasalymacaka
+Guinao	pareita	yamike	piampatyam
+Mawacua	apaura	woaraka	tamarsi
+Baniva	yabibulini	enábe	yabébuli	yunulibunutsi	pinawiáphi	pimiri	yumaliwi	piurhuili	pieirurwhi	picalaùrwhili
Yavitero	ā́apĕ́tsa	ntsắme	mā́daƚi
*5Manao
+Manao	panîmu	piarukûma	pialuky paulo
+Kariaí	nyoi	püthairama	tükahut
*4Maritime
Aruán	auseire	dekuráma	nkeduke
Wapishana	badęé̹p	dąi tám	itkinéądă	pameníwa tenkit	baráieda	[1] bakaneát	[2] bakabeát			péukă
*5Ta-Maipurean
+Proto-Araƚwakan	*pa / *ba	*pi / *bi	*mapa / *mada
Taino	hequeti	yamoca	canocum	yamoncobre
Goajiro (Wayuu)	wane	piama	apɨnɨin	pienči	haʔrali	apirua	akaraiši	meki:salɨ	meki:e:tasalɨ	poʔlo:
Paraujano	maneydža	pimi	apaniw	pinči	nadă	siami	beremi	pinjüwɛn	heberemi
Arawak	aba	bian	kabyn	bithi	badakhabo	bathian	bianthian	kabynthian	bithithian	biandakhabo
Island Carib	ábana	biama	íriua	gádoro	sé̹go
Black Carib (Garífuna)	ában	biáma	ürua	gádürü	séngü	sísi	sédü	widü	néfu	dísi
*4Eastern
